"Ano";"UF";"Região";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.94.Ocupação";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Grau.Instrução.2005.1985";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro.SM";"Vl.Remun.Média.Nom";"Vl.Remun.Média.SM";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.CC";"Vl.Rem.Fevereiro.CC";"Vl.Rem.Março.CC";"Vl.Rem.Abril.CC";"Vl.Rem.Maio.CC";"Vl.Rem.Junho.CC";"Vl.Rem.Julho.CC";"Vl.Rem.Agosto.CC";"Vl.Rem.Setembro.CC";"Vl.Rem.Outubro.CC";"Vl.Rem.Novembro.CC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial";"Tipo.Salário";"Vl.Salário.Contratual"
1997;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"67199";"0";1;6;5;"10";"09";4;5;NA;32;49;NA;NA;0;"0";NA;420540;10;3999;NA;NA;NA;"0";NA;10,85;NA;11,18;NA;2;8;16,3;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"0";1;5;6;"09";"08";4;9;NA;44;37;NA;NA;0;"0";NA;420910;10;1155;NA;NA;NA;"0";NA;9,14;NA;9,45;NA;2;6;15,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SE";"NORDESTE";"0";"0";"0";NA;NA;NA;11;19245;NA;NA;"73105";"0";0;4;6;"0";"8";4;9;NA;44;28;NA;NA;0;"10";NA;280030;10;3018;NA;NA;NA;"0";NA;0;NA;9,94;NA;1;6;12;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SE";"NORDESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;3;6;"10";"9";3;9;NA;44;23;NA;NA;2;"0";NA;280030;10;3018;NA;NA;NA;"0";NA;10,36;NA;11,23;NA;1;6;10,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SE";"NORDESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;4;6;"10";"9";4;8;NA;44;29;NA;NA;0;"0";NA;280030;10;3018;NA;NA;NA;"0";NA;10,36;NA;10,59;NA;2;6;14,9;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SP";"SUDESTE";"                0248";"0";"0";NA;NA;NA;12;19245;NA;NA;"74500";"                0032";0;7;6;"00";"09";1;5;NA;44;53;NA;NA;6;"9";NA;355030;10;2062;NA;NA;NA;"0";NA;0;NA;12,08;NA;1;5;2,8;2;1;"CNPJ";NA;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SP";"SUDESTE";"                0053";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"                0069";1;8;5;"09";"08";3;9;NA;40;69;NA;NA;4;"0";NA;355030;10;3999;NA;NA;NA;"0";NA;9,91;NA;9,99;NA;1;9;8,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SP";"SUDESTE";"                0053";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"                0069";1;6;5;"09";"08";3;9;NA;40;40;NA;NA;4;"0";NA;355030;10;3999;NA;NA;NA;"0";NA;8,11;NA;8,17;NA;1;9;8,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SP";"SUDESTE";"                0053";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"                0069";1;8;5;"09";"08";3;9;NA;40;70;NA;NA;4;"0";NA;355030;10;3999;NA;NA;NA;"0";NA;9,91;NA;9,99;NA;2;9;8,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"MS";"CENTRO-OESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"0";1;5;4;"8";"7";4;9;NA;24;36;NA;NA;0;"0";NA;500270;10;1139;NA;NA;NA;"0";NA;6,17;NA;6,33;NA;2;8;14,9;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"RS";"SUL";"0";"0";"0";NA;NA;NA;11;19245;NA;NA;"74209";"0";0;5;6;"8";"7";4;9;NA;44;30;NA;NA;0;"12";NA;431033;10;2062;NA;NA;NA;"0";NA;6,34;NA;6,63;NA;2;7;17,7;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"RS";"SUL";"0";"0";"0";NA;NA;NA;11;19245;NA;NA;"74209";"0";0;4;6;"8";"7";4;9;NA;44;26;NA;NA;0;"12";NA;431033;10;2062;NA;NA;NA;"0";NA;6,34;NA;6,63;NA;2;7;17,7;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;6;5;"10";"09";5;9;NA;32;41;NA;NA;0;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,29;NA;10,43;NA;1;8;28,3;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;5;5;"10";"09";5;9;NA;32;38;NA;NA;0;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,29;NA;10,43;NA;2;8;28,3;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;7;5;"10";"09";5;9;NA;32;50;NA;NA;0;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,29;NA;10,71;NA;2;8;28,3;0;1;"CNPJ                ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"0";1;5;6;"10";"08";5;9;NA;44;38;NA;NA;0;"0";NA;420910;10;1155;NA;NA;NA;"0";NA;10,86;NA;8,71;NA;2;6;27,2;0;1;"CNPJ                ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
