"Admitidos.Desligados";"Competência.Movimentação";"Município";"Ano.Movimentação";"CBO.94.Ocupação";"CBO.2002.Ocupação";"CNAE.1.0.Classe";"Faixa.Empr.Início.Jan";"Grau.Instrução";"Qtd.Hora.Contrat";"IBGE.Subsetor";"Idade";"Ind.Aprendiz";"Salário.Mensal";"Saldo.Mov";"Sexo";"Tempo.Emprego";"Tipo.Estab";"Tipo.Mov.Desagregado";"UF";"Competência.Declarada";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Distritos.SP";"Regiões.Adm.DF";"Mesorregião";"Microrregião";"Região.Adm.RJ";"Região.Adm.SP";"Região.Corede";"Região.Corede.04";"Região.Gov.SP";"Região.Senac.PR";"Região.Senai.PR";"Região.Senai.SP";"Sub.Região.Senai.PR";"Região.Metro.MTE";"CNAE.2.0.Subclas";"Raça.Cor";"Ind.Portador.Defic";"Tipo.Defic";"Ind.Trab.Parcial";"Ind.Trab.Intermitente"
1;200809;351060;2008;"19245";251110;74993;2;9;44;19;25;0;20;1;1;0;1;1;35;200812;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
2;200812;351060;2008;"19245";251110;74993;3;9;44;19;33;0;21,3;-1;1;15;1;4;35;200905;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
1;200904;355030;2009;"19245";251110;74160;2;9;44;19;25;0;6;1;1;0;1;1;35;200905;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3515;35061;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";46;99;" 7";7020400;8;0;0;NA;NA
2;200812;350950;2008;"19245";251110;85111;6;9;40;22;54;0;22,54;-1;1;90;1;4;35;200907;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35032;"{ñ c";4;"{ñ c";99;15;99;"{ñ c";9;99;"{ñ";8610101;2;0;0;NA;NA
1;200906;261110;2009;"19245";251110;74705;5;9;44;21;29;0;38;1;1;0;1;1;26;200907;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";2602;26005;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";8121400;8;0;0;NA;NA
1;200905;431490;2009;"19245";251110;74993;1;9;44;19;39;0;12,77;1;2;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200905;431490;2009;"19245";251110;74993;1;9;44;19;24;0;11,13;1;1;0;1;1;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;9;0;0;NA;NA
1;200905;431490;2009;"19245";251110;74993;1;9;44;19;23;0;18,59;1;2;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200906;431490;2009;"19245";251110;74993;1;9;20;19;38;0;18,59;1;1;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200906;431490;2009;"19245";251110;74993;1;9;44;19;42;0;11,13;1;2;0;1;1;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;9;0;0;NA;NA
1;200906;431490;2009;"19245";251110;74993;1;9;44;19;29;0;11,13;1;1;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200906;431490;2009;"19245";251110;74993;1;9;44;19;45;0;19,64;1;2;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200906;431490;2009;"19245";251110;74993;1;9;44;19;26;0;20,68;1;1;0;1;2;43;200908;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";8299799;2;0;0;NA;NA
1;200907;351518;2009;"19245";251110;73202;4;9;44;21;24;0;20;1;1;0;1;2;35;200908;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200910;351518;2009;"19245";251110;73202;4;9;44;21;23;0;6,5;1;1;0;1;25;35;200912;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;2;NA;NA
1;201001;351518;2010;"000-1";251110;73202;4;9;44;21;24;0;15;1;1;0;1;25;35;201002;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201001;351518;2010;"000-1";251110;73202;4;9;44;21;31;0;22;1;1;0;1;25;35;201002;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201001;351518;2010;"000-1";251110;73202;4;9;44;21;19;0;5,1;1;2;0;1;25;35;201002;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201001;351518;2010;"000-1";251110;73202;4;9;44;21;20;0;5,1;1;2;0;1;25;35;201002;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200906;351060;2009;"19245";251110;74993;4;9;44;19;32;0;40;1;1;0;1;2;35;201003;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
2;201003;261110;2010;"000-1";251110;74705;6;9;44;21;23;0;38;-1;2;10;1;4;26;201004;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";2602;26005;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";8121400;8;0;0;NA;NA
1;201006;351907;2010;"000-1";251110;35211;8;9;44;6;29;0;45;1;2;0;1;1;35;201007;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35032;"{ñ c";4;"{ñ c";99;15;99;"{ñ c";9;99;"{ñ";3031800;2;0;0;NA;NA
1;201001;431490;2010;"000-1";251110;74209;1;9;20;19;20;0;3,5;1;2;0;1;1;43;201008;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";7119702;9;0;0;NA;NA
1;201001;431490;2010;"000-1";251110;74209;1;9;44;19;27;0;11;1;1;0;1;2;43;201008;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4305;43026;"{ñ c";999;"  11";12;999;99;"{ñ c";999;99;" 9";7119702;9;0;0;NA;NA
1;201012;310620;2010;"19245";251110;75116;9;9;6;24;24;0;52,19;1;2;0;1;2;31;201101;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3107;31030;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;" 5";8411600;8;0;0;NA;NA
1;201012;310620;2010;"19245";251110;75116;9;9;6;24;29;0;52,19;1;2;0;1;2;31;201101;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3107;31030;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;" 5";8411600;8;0;0;NA;NA
2;201004;351518;2010;"19245";251110;73202;3;9;44;21;26;0;12;-1;1;13;1;6;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201004;351518;2010;"19245";251110;73202;3;9;44;21;24;0;7,5;-1;1;16;1;4;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201004;351518;2010;"19245";251110;73202;3;9;44;21;35;0;25;-1;1;13;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201005;351518;2010;"19245";251110;73202;3;9;44;21;51;0;12,5;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201005;351518;2010;"19245";251110;73202;3;9;44;21;30;0;12,5;1;2;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201005;351518;2010;"19245";251110;73202;3;9;44;21;30;0;12,5;-1;1;11;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201005;351518;2010;"19245";251110;73202;3;9;44;21;30;0;12,5;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201006;351518;2010;"19245";251110;73202;3;9;44;21;30;0;12,5;-1;2;10;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201006;351518;2010;"19245";251110;73202;3;9;44;21;35;0;9;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201006;351518;2010;"19245";251110;73202;3;9;44;21;32;0;16;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201006;351518;2010;"19245";251110;73202;3;9;44;21;25;0;25;-1;2;10;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201006;351518;2010;"19245";251110;73202;3;9;44;21;25;0;25;1;2;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201007;351518;2010;"19245";251110;73202;3;9;44;21;30;0;16;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201007;351518;2010;"19245";251110;73202;3;9;44;21;23;0;5,1;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201007;351518;2010;"19245";251110;73202;3;9;44;21;28;0;5,1;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201008;351518;2010;"19245";251110;73202;3;9;44;21;51;0;12,5;-1;1;10;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201008;351518;2010;"19245";251110;73202;3;9;44;21;23;0;5,1;-1;1;8;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;201008;351518;2010;"19245";251110;73202;3;9;44;21;28;0;5,1;-1;1;8;1;43;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;201009;351518;2010;"19245";251110;73202;3;9;44;21;51;0;20;1;1;0;1;2;35;201103;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
